epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,1487.44,0.9696,0.86144,1.19144,0.52246,0.66106,0.63285,0.44208,1.19264,1.09608,1.43267,0.000835438,0.000835438,0.000835438
69,1509.07,1.00031,0.88642,1.21656,0.88998,0.55775,0.66775,0.46656,1.21413,1.16917,1.43021,0.00082925,0.00082925,0.00082925
70,1530.86,0.96123,0.85561,1.17022,0.86485,0.53842,0.68556,0.45673,1.24812,1.20083,1.4613,0.000823063,0.000823063,0.000823063
71,1552.21,0.98809,0.87358,1.20223,0.58085,0.58481,0.61167,0.43126,1.22687,1.13425,1.43096,0.000816875,0.000816875,0.000816875
72,1573.81,0.96717,0.84746,1.16972,0.72687,0.53589,0.62968,0.44549,1.17889,1.17225,1.39098,0.000810688,0.000810688,0.000810688
73,1595.35,0.97822,0.87105,1.19689,0.74735,0.53666,0.59357,0.41239,1.24767,1.24097,1.45684,0.0008045,0.0008045,0.0008045
74,1616.92,0.97999,0.89301,1.16901,0.7151,0.66485,0.66435,0.48104,1.17876,1.03936,1.39556,0.000798313,0.000798313,0.000798313
75,1638.72,0.96114,0.83454,1.18326,0.75699,0.62173,0.66937,0.48638,1.20347,1.12516,1.42319,0.000792125,0.000792125,0.000792125
76,1660.51,0.95915,0.82079,1.16857,0.61245,0.62096,0.60972,0.4361,1.18815,1.16769,1.40785,0.000785938,0.000785938,0.000785938
77,1682.02,0.9477,0.81244,1.16765,0.65928,0.53268,0.61992,0.44265,1.20356,1.12571,1.41814,0.00077975,0.00077975,0.00077975
78,1703.43,0.92988,0.79277,1.15228,0.63052,0.59961,0.59937,0.42749,1.18004,1.10223,1.40684,0.000773563,0.000773563,0.000773563
79,1724.93,0.96521,0.83622,1.18271,0.73391,0.56007,0.62747,0.43565,1.20672,1.07966,1.4282,0.000767375,0.000767375,0.000767375
80,1746.55,0.93836,0.7882,1.1437,0.66511,0.66216,0.68347,0.4767,1.21112,1.13185,1.42284,0.000761188,0.000761188,0.000761188
81,1767.99,0.92567,0.77918,1.15143,0.72576,0.5682,0.65236,0.47046,1.17383,1.12046,1.39424,0.000755,0.000755,0.000755
82,1789.69,0.90593,0.81506,1.14021,0.69354,0.56227,0.66968,0.48683,1.17361,1.07513,1.39703,0.000748813,0.000748813,0.000748813
83,1811.57,0.91046,0.7877,1.15412,0.88457,0.594,0.70382,0.48717,1.23931,1.03951,1.46145,0.000742625,0.000742625,0.000742625
84,1833.31,0.90815,0.75355,1.15627,0.83091,0.6207,0.69354,0.48929,1.17381,1.11142,1.40539,0.000736438,0.000736438,0.000736438
85,1855.39,0.92277,0.7853,1.15166,0.70996,0.54426,0.62674,0.44729,1.1717,1.14103,1.40205,0.00073025,0.00073025,0.00073025
86,1877.08,0.93518,0.77104,1.1455,0.78467,0.59717,0.6797,0.4938,1.14871,1.00858,1.40126,0.000724062,0.000724062,0.000724062
87,1898.77,0.87999,0.74221,1.11887,0.75835,0.58725,0.65582,0.47215,1.22337,1.16358,1.45798,0.000717875,0.000717875,0.000717875
88,1920.55,0.90773,0.7498,1.14878,0.62632,0.66428,0.66024,0.47158,1.19061,1.10636,1.41774,0.000711687,0.000711687,0.000711687
89,1941.99,0.86955,0.7249,1.12516,0.85475,0.55545,0.67498,0.48743,1.14268,1.02857,1.36294,0.0007055,0.0007055,0.0007055
90,1963.43,0.87917,0.74839,1.10872,0.59823,0.68934,0.66947,0.48645,1.16453,1.08899,1.41315,0.000699312,0.000699312,0.000699312
91,1985.05,0.88671,0.72021,1.13323,0.73689,0.53772,0.64675,0.46767,1.13522,1.10513,1.37733,0.000693125,0.000693125,0.000693125
92,2006.6,0.90282,0.73864,1.13583,0.69212,0.64519,0.7238,0.51746,1.17999,1.15217,1.41455,0.000686937,0.000686937,0.000686937
93,2028.35,0.86343,0.70895,1.11718,0.68438,0.56731,0.6296,0.45222,1.14511,1.07253,1.3645,0.00068075,0.00068075,0.00068075
94,2049.92,0.86441,0.69728,1.1087,0.8358,0.59299,0.67613,0.48075,1.17665,1.11243,1.39094,0.000674562,0.000674562,0.000674562
95,2071.63,0.88005,0.71071,1.13433,0.86494,0.56566,0.63715,0.45417,1.17974,1.00548,1.39897,0.000668375,0.000668375,0.000668375
96,2093.29,0.87362,0.71584,1.11908,0.74289,0.60172,0.66476,0.47811,1.16743,1.07688,1.40357,0.000662188,0.000662188,0.000662188
97,2114.81,0.87925,0.69688,1.10159,0.79221,0.56227,0.63926,0.45589,1.18301,1.10434,1.4212,0.000656,0.000656,0.000656
98,2136.33,0.85212,0.6961,1.10347,0.77565,0.6504,0.70215,0.5105,1.15577,1.02934,1.37818,0.000649813,0.000649813,0.000649813
99,2157.83,0.83916,0.69636,1.10193,0.82042,0.5863,0.6641,0.47783,1.13978,0.96914,1.39591,0.000643625,0.000643625,0.000643625
100,2179.2,0.85368,0.67778,1.10878,0.79996,0.58659,0.67399,0.49367,1.13575,1.0047,1.371,0.000637437,0.000637437,0.000637437
101,2200.9,0.85298,0.68692,1.10703,0.85419,0.63549,0.68878,0.50738,1.12567,1.01209,1.36746,0.00063125,0.00063125,0.00063125
102,2222.43,0.84287,0.6566,1.08588,0.74729,0.61548,0.69968,0.518,1.14347,1.0646,1.38173,0.000625062,0.000625062,0.000625062
